"","Intercept","Nuc1","Nuc2","CO2Price","BanFuel1","BanFuel2","RFS1","RFS2","Id","D1","D2","D3","D4","assigned"
"148",-3.4569158614706,1.08682843570919,-1.13284861681287,-0.00212036121821507,4.15198196267166,3.78267239959725,1.07889132101217,1.37354705596363,187,6.70223647350889,5.89138076387091,24.8722778860479,4.98317608052607,4
"149",-1.78782195479855,0.230545498930509,0.695404766342799,0.0206332418085678,0.735650927176133,0.596282946334367,-1.04502804920029,-0.403545365709625,163,2.74305166763979,8.07299684839075,30.001059950313,5.5104706280339,1
"150",-4.67990517939836,-2.35981634060243,0.988810860608002,-0.00180231676337728,3.99874043054688,3.86371985636018,2.74609757508678,5.17735323246602,84,8.28670234461954,5.56542297600629,24.0220603719481,5.52621740645777,2
"151",-3.37450224719117,-0.430898520547355,-0.143625527074627,0.00515510768463838,23.0180307470298,3.25239341277467,-0.157581201013069,-0.419275153956047,161,23.2678945932612,22.5762127209988,22.8243079519475,20.5356791138864,3
"152",-3.68978841631247,0.487796417970794,-0.513479133421061,0.00554830176406812,2.26987117403834,5.2964948755291,1.44130050642366,1.1269980545984,99,6.72005580493785,6.36327284561626,24.8716592414988,5.08265278631409,4
"153",-2.27250122541668,1.19481427478907,0.838016876161552,0.0073409556385174,0.525985772265878,1.09816766847659,0.742444734209334,0.731177623570013,3,2.79408720173842,6.21346060694002,29.2831587071506,5.50210086328156,1
"154",-3.78970573874544,1.74413455677396,-1.20030735604373,0.011890214193492,2.14065849427332,4.19896358186479,1.0228048889914,1.34159334311738,108,6.43613933615875,5.61514918196993,25.6133936039849,5.69183653636694,2
"155",-21.1789395980164,-0.228139667320843,-0.163683438760492,0.00387397750333647,20.3734096423572,41.1816385896261,0.735036911047526,0.516997638146807,145,50.1946502711091,47.6102893755041,22.9294141919245,46.7626722653535,3
"156",-1.80430073538867,0.764982728141818,-3.47615205013893,0.00930619253557169,1.43887466868821,2.07701612551103,0.730649675532349,1.16251850908333,12,5.3033278296836,6.03531245117377,28.4804843317086,5.16554258447933,4
"157",0.347855043695414,0.933731899090954,-0.222820159481768,0.000158441352415696,-1.27017058366814,-0.110734183415196,-0.424458449852237,0.0693703873479481,118,3.05634264180905,8.71406902746698,32.5631206503382,7.16528776593039,1
"158",-3.22656342240851,1.88263052263065,-0.00320815125518725,0.0012771872536269,2.29085641567823,3.49929300226451,0.837679999817748,0.889299120785936,11,5.53125205208248,5.96705874774138,26.3208979260668,5.51647819590687,2
"159",-4.80007545525301,1.20595175937698,-0.206988902183199,-0.00140577656661699,3.83503282725203,5.76034189230505,1.56071382364316,1.47847723828975,73,8.30190969042155,6.73823081111486,23.0695521227427,6.35245511278872,3
"160",-1.9215430807653,1.5291457496656,-0.27365869874223,0.00340367157671544,2.41587027277767,1.37235381184891,-0.0911767607153183,-0.0231589227396307,69,4.0461324708162,6.95983845282472,28.4414100591641,5.31399108927845,4
"161",-1.39440303602068,1.80599142876345,2.10441423017701,-0.00622514194387087,0.885360853820887,-0.879277969274883,0.705181847940278,0.803969908870344,159,3.18327201960397,7.32212150936746,30.916646264404,7.02224099531473,1
"162",-2.52014887496839,1.71045612509985,-2.71377395757356,0.00984974227181984,1.8843986338795,2.93326264113816,0.501590278288385,0.817326771672032,43,5.78836573065528,6.10644552809578,27.3793142367632,5.60036199926897,2
"163",-20.0566677934492,0.0595734001320182,0.103111550263946,-0.00261847261409608,20.4794361828925,41.1850660517603,-0.542649793209983,-0.689243064185728,127,49.8314574139619,47.4959842451703,23.1774723181275,46.4485778324588,3
"164",-1.81371797794136,1.30100342098656,-2.40483685114657,0.0185713476266301,2.11044592068353,0.807340300936707,0.594156036626478,-1.39591037574085,122,5.19691492129614,7.80958057812143,29.2660993161131,5.97002894286846,4
"165",-1.24614501197122,2.09264728658864,1.04310251543581,0.00662768599610365,-0.313130495955823,-0.548061469978072,-0.473443266589029,0.503921305510136,149,3.23048679889695,7.82510812328453,31.5057923295818,7.4025608758139,1
"166",-1.80731382817759,2.05642682098608,-3.63170529020253,0.0170039148552218,-0.662252617098207,1.26002604399157,0.743576805242792,1.65885753309854,24,5.65743439028699,6.19632384607403,30.2174314880175,7.16439429457758,2
