"","nuc.power1","nuc.power2","CO2Price","ban.fuel.explore1","ban.fuel.explore2","RFS1","RFS2","id","p1.utility","p2.utility","p3.utility","p4.utility","group.score","group.sd","predicted.probability"
"1",1,0,150,0,1,1,0,139,19.8314035263553,23.5541311479791,0.294874298104356,-1.79956843162642,10.4702101352031,13.0754968835081,0.999998036294689
"2",0,1,150,0,1,1,0,53,19.9118857514194,23.1592785407101,0.776093775638394,-2.88048855111405,10.2416923791635,13.1930014450566,0.999997591439199
"3",1,0,30,0,1,1,0,91,21.0599742446937,22.9019263057314,-1.02649771682878,-5.2228278592085,9.42814374359694,14.6149785529571,0.99999594395788
"4",1,0,90,0,1,1,0,92,21.0599742446937,22.9019263057314,-1.02649771682878,-5.2228278592085,9.42814374359694,14.6149785529571,0.99999594395788
"5",1,0,120,0,1,1,0,98,21.0599742446937,22.9019263057314,-1.02649771682878,-5.2228278592085,9.42814374359694,14.6149785529571,0.99999594395788
"6",1,0,0,0,1,1,0,113,21.0599742446937,22.9019263057314,-1.02649771682878,-5.2228278592085,9.42814374359694,14.6149785529571,0.99999594395788
"7",1,0,60,0,1,1,0,123,21.0599742446937,22.9019263057314,-1.02649771682878,-5.2228278592085,9.42814374359694,14.6149785529571,0.99999594395788
"8",0,1,30,0,1,1,0,42,21.1404564697578,22.5070736984623,-0.545278239294739,-6.30374797869613,9.19962598755731,14.7759868244746,0.999995069286655
"9",0,1,0,0,1,1,0,54,21.1404564697578,22.5070736984623,-0.545278239294739,-6.30374797869613,9.19962598755731,14.7759868244746,0.999995069286655
"10",0,1,90,0,1,1,0,63,21.1404564697578,22.5070736984623,-0.545278239294739,-6.30374797869613,9.19962598755731,14.7759868244746,0.999995069286655
"11",0,1,120,0,1,1,0,102,21.1404564697578,22.5070736984623,-0.545278239294739,-6.30374797869613,9.19962598755731,14.7759868244746,0.999995069286655
"12",0,1,60,0,1,1,0,134,21.1404564697578,22.5070736984623,-0.545278239294739,-6.30374797869613,9.19962598755731,14.7759868244746,0.999995069286655
"13",0,0,150,0,1,1,0,159,19.3806461869772,21.3058513664115,-1.25673737531223,-2.4985825644873,9.23279440339728,12.8632951034181,0.999992939504841
"14",0,0,120,0,1,1,0,4,20.6092169053155,20.6536465241637,-2.57810939024536,-5.92184199206938,8.19072801179113,14.4300114962993,0.999985497801491
"15",0,0,60,0,1,1,0,50,20.6092169053155,20.6536465241637,-2.57810939024536,-5.92184199206938,8.19072801179113,14.4300114962993,0.999985497801491
"16",0,0,30,0,1,1,0,59,20.6092169053155,20.6536465241637,-2.57810939024536,-5.92184199206938,8.19072801179113,14.4300114962993,0.999985497801491
"17",0,0,0,0,1,1,0,82,20.6092169053155,20.6536465241637,-2.57810939024536,-5.92184199206938,8.19072801179113,14.4300114962993,0.999985497801491
"18",0,0,90,0,1,1,0,110,20.6092169053155,20.6536465241637,-2.57810939024536,-5.92184199206938,8.19072801179113,14.4300114962993,0.999985497801491
"19",1,0,150,0,1,0,0,51,21.0051422382941,6.25722471833719,-0.458837546744298,-4.29651717573546,5.62675305853789,11.1414848417281,0.999631433770563
"20",0,1,150,0,1,0,0,10,21.0856244633582,5.86237211106815,0.0223819307897397,-5.37743729522308,5.39823530249826,11.4210992037943,0.999562747777692
"21",1,0,60,0,1,0,0,33,22.2337129566325,5.60501987608945,-1.78020956167743,-7.71977660331753,4.58468666693174,12.9671498950506,0.999282358517881
"22",1,0,120,0,1,0,0,105,22.2337129566325,5.60501987608945,-1.78020956167743,-7.71977660331753,4.58468666693174,12.9671498950506,0.999282358517881
"23",1,0,0,0,1,0,0,108,22.2337129566325,5.60501987608945,-1.78020956167743,-7.71977660331753,4.58468666693174,12.9671498950506,0.999282358517881
"24",1,0,90,0,1,0,0,109,22.2337129566325,5.60501987608945,-1.78020956167743,-7.71977660331753,4.58468666693174,12.9671498950506,0.999282358517881
"25",1,0,30,0,1,0,0,111,22.2337129566325,5.60501987608945,-1.78020956167743,-7.71977660331753,4.58468666693174,12.9671498950506,0.999282358517881
"26",0,1,120,0,1,0,0,13,22.3141951816966,5.21016726882041,-1.29899008414339,-8.80069672280516,4.35616891089211,13.2703172192748,0.999152772094699
"27",0,1,0,0,1,0,0,14,22.3141951816966,5.21016726882041,-1.29899008414339,-8.80069672280516,4.35616891089211,13.2703172192748,0.999152772094699
"28",0,1,60,0,1,0,0,26,22.3141951816966,5.21016726882041,-1.29899008414339,-8.80069672280516,4.35616891089211,13.2703172192748,0.999152772094699
"29",0,1,90,0,1,0,0,106,22.3141951816966,5.21016726882041,-1.29899008414339,-8.80069672280516,4.35616891089211,13.2703172192748,0.999152772094699
"30",0,1,30,0,1,0,0,161,22.3141951816966,5.21016726882041,-1.29899008414339,-8.80069672280516,4.35616891089211,13.2703172192748,0.999152772094699
"31",0,0,150,0,1,0,0,89,20.554384898916,4.00894493676952,-2.01044922016088,-4.99553130859633,4.38933732673208,11.4088633458008,0.99879991867602
"32",0,0,90,0,1,0,0,25,21.7829556172544,3.35674009452178,-3.33182123509401,-8.41879073617841,3.34727093512593,13.2025886203562,0.997649836429876
"33",0,0,60,0,1,0,0,69,21.7829556172544,3.35674009452178,-3.33182123509401,-8.41879073617841,3.34727093512593,13.2025886203562,0.997649836429876
"34",0,0,0,0,1,0,0,78,21.7829556172544,3.35674009452178,-3.33182123509401,-8.41879073617841,3.34727093512593,13.2025886203562,0.997649836429876
"35",0,0,30,0,1,0,0,128,21.7829556172544,3.35674009452178,-3.33182123509401,-8.41879073617841,3.34727093512593,13.2025886203562,0.997649836429876
"36",0,0,120,0,1,0,0,145,21.7829556172544,3.35674009452178,-3.33182123509401,-8.41879073617841,3.34727093512593,13.2025886203562,0.997649836429876
"37",1,0,150,0,1,0,1,28,20.178410459272,-18.9956327260221,1.01478481103505,3.18257564562272,1.34503454747692,16.0408272390793,0.990364527349299
"38",0,1,150,0,1,0,1,140,20.2588926843361,-19.3904853332911,1.49600428856909,2.10165552613509,1.11651679143729,16.2078396674339,0.988325162783682
